importer,archive,scope,caller_class,symbol,reference_kinds,lines
experiments/aq4_benchmark/aq4_binding.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,FOUNDRY_OUT_DIR,qualified_attribute,74
experiments/aq4_benchmark/aq4_binding.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,halt,qualified_attribute,83;87;265;320;347;373;424;477;635
experiments/aq4_benchmark/aq4_binding.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,load_corpus_gated,qualified_attribute,525;629;939
experiments/aq4_benchmark/aq4_compare.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,halt,qualified_attribute,112;116;146;158;234;1022;1036;1039;1047;1055;1057;1061;1064;1067;1070;1081;1227;1359;1400
experiments/aq4_benchmark/aq4_compare.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,load_corpus_gated,qualified_attribute,2038
experiments/aq4_benchmark/aq4_pairing.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,halt,qualified_attribute,147;268;295;348;355;362;372
experiments/aq4_benchmark/aq4_population.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,_MODAL_HEADER_RE,qualified_attribute,519
experiments/aq4_benchmark/aq4_population.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,det_scan_texts,qualified_attribute,464;492
experiments/aq4_benchmark/aq4_population.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,full_oracle_text,qualified_attribute,568
experiments/aq4_benchmark/aq4_population.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,halt,qualified_attribute,290;323;357;364;426;655;938;1117;1167;1319;1404;1442
experiments/aq4_benchmark/aq4_population.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,load_corpus_gated,qualified_attribute,1391
experiments/aq4_benchmark/aq4_population.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,resolve_name,qualified_attribute,683
experiments/aq4_benchmark/aq4_projection.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,_MODAL_HEADER_RE,qualified_attribute,508;547;593;1694
experiments/aq4_benchmark/aq4_projection.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,halt,qualified_attribute,187;225;279;293;681;1029;1225;1922
experiments/aq4_benchmark/aq4_projection.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,is_mode_line,qualified_attribute,547;554
experiments/aq4_benchmark/aq4_projection.py,False,aq4_frozen_benchmark,AQ4/frozen benchmark,load_corpus_gated,qualified_attribute,295;315;341;430;608;1765;1868
experiments/foundry_adapt_batch1_decisions.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,38;39;40;218
experiments/foundry_adapt_batch1_decisions.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,94;99;105;107;115;130;132;134;144;200
experiments/foundry_adapt_batch1_decisions.py,False,legacy_executable,codebook or membership mutation,load_corpus,qualified_attribute,185
experiments/foundry_adapt_batch1_decisions.py,False,legacy_executable,codebook or membership mutation,resolve_name,qualified_attribute,203
experiments/foundry_adapt_batch1_decisions.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,234
experiments/foundry_adapt_batch2_decisions.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,26;27;28;96
experiments/foundry_adapt_batch2_decisions.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,69;74;80;82;90;108;117;143
experiments/foundry_adapt_batch2_decisions.py,False,legacy_executable,codebook or membership mutation,load_corpus,qualified_attribute,137
experiments/foundry_adapt_batch2_decisions.py,False,legacy_executable,codebook or membership mutation,resolve_name,qualified_attribute,146
experiments/foundry_adapt_batch2_decisions.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,175
experiments/foundry_adapt_batch3_decisions.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,28;29;30;84
experiments/foundry_adapt_batch3_decisions.py,False,legacy_executable,codebook or membership mutation,halt,qualified_attribute,57;62;68;70;78;95;104;127
experiments/foundry_adapt_batch3_decisions.py,False,legacy_executable,codebook or membership mutation,load_corpus,qualified_attribute,121
experiments/foundry_adapt_batch3_decisions.py,False,legacy_executable,codebook or membership mutation,resolve_name,qualified_attribute,130
experiments/foundry_adapt_batch3_decisions.py,False,legacy_executable,codebook or membership mutation,write_json,qualified_attribute,158
experiments/foundry_adapt_batch4_decisions.py,False,legacy_executable,codebook or membership mutation,FOUNDRY_OUT_DIR,qualified_attribute,27;28;29;90
